ID or #		Start	End	Type	Contig
==================================================
NC_000913.3:1..4641652		1	4641652	partial	NODE_11_length_148513_cov_366.871952:15463-1,NODE_51_length_3217_cov_359.184395:3217-1,NODE_8_length_203054_cov_373.375525:1-203054,NODE_61_length_1058_cov_2693.174312:1-1058,NODE_31_length_40911_cov_365.866802:40911-11933,NODE_31_length_40911_cov_365.866802:11932-1,NODE_52_length_2347_cov_383.834802:1-2347,NODE_50_length_4167_cov_359.965526:4167-1,NODE_43_length_10483_cov_369.719393:10483-1,NODE_40_length_23981_cov_350.972599:1-23981,NODE_21_length_65161_cov_353.517178:1-65161,NODE_44_length_9269_cov_341.896214:1-9269,NODE_59_length_1255_cov_1939.646010:1255-1,NODE_13_length_133063_cov_365.660310:133063-1,NODE_62_length_848_cov_733.736706:848-1,NODE_32_length_40204_cov_352.615845:1-40204,NODE_46_length_6704_cov_332.952769:6704-1,NODE_60_length_1124_cov_4231.558739:1124-1,NODE_36_length_32370_cov_357.112687:1-32370,NODE_19_length_78649_cov_365.083732:1-78649,NODE_30_length_40969_cov_366.069671:40969-1,NODE_66_length_676_cov_363.115192:676-1,NODE_26_length_47992_cov_377.344047:1-47992,NODE_4_length_268404_cov_369.672366:1-268404,NODE_27_length_43853_cov_361.126508:1-43853,NODE_53_length_1926_cov_373.480800:1-1792,NODE_2_length_297149_cov_360.536388:297149-107948,NODE_2_length_297149_cov_360.536388:107847-95425,NODE_2_length_297149_cov_360.536388:95424-1,NODE_33_length_35474_cov_381.243354:35474-1,NODE_69_length_533_cov_730.561404:533-1,NODE_35_length_33326_cov_356.429487:33326-1,NODE_65_length_706_cov_2746.287758:1-706,NODE_63_length_754_cov_1109.831610:1-754,NODE_23_length_58431_cov_358.846883:1-58431,NODE_28_length_41847_cov_354.540460:1-41847,NODE_22_length_62449_cov_347.520666:1-62449,NODE_41_length_15974_cov_348.591307:15974-1,NODE_1_length_414005_cov_357.756595:414005-86975,NODE_1_length_414005_cov_357.756595:86974-1,NODE_54_length_1794_cov_323.599884:1-1794,NODE_37_length_31626_cov_359.027418:31626-1,NODE_20_length_67374_cov_355.635764:67374-1,NODE_15_length_117642_cov_362.489899:1-117642,NODE_6_length_224367_cov_358.710634:1-224367,NODE_58_length_1345_cov_1094.507098:1345-1,NODE_47_length_5682_cov_354.639251:5682-1,NODE_7_length_205025_cov_372.185906:205025-1,NODE_55_length_1742_cov_2617.648649:1742-1,NODE_5_length_264628_cov_361.652112:1-86564,NODE_5_length_264628_cov_361.652112:86665-264628,NODE_12_length_133233_cov_381.903129:133233-1,NODE_25_length_54904_cov_367.539388:54904-1,NODE_9_length_178300_cov_367.450088:178300-1,NODE_24_length_56917_cov_368.908973:56917-1,NODE_29_length_41409_cov_376.841382:1-41409,NODE_67_length_569_cov_738.756098:1-569,NODE_16_length_112849_cov_374.626139:1-112849,NODE_34_length_35227_cov_371.713001:35227-1,NODE_64_length_734_cov_1174.738204:734-1,NODE_57_length_1608_cov_775.685826:1-1608,NODE_39_length_29321_cov_354.444536:29321-1,NODE_42_length_13124_cov_344.411359:13124-1,NODE_17_length_95774_cov_367.252056:95774-1,NODE_10_length_175988_cov_359.617568:175988-1,NODE_18_length_88469_cov_374.126912:1-88469,NODE_68_length_566_cov_1076.370143:1-566,NODE_14_length_125752_cov_375.120501:1-125752,NODE_49_length_4267_cov_360.400716:1-4267,NODE_38_length_31036_cov_383.999838:1-31036,NODE_56_length_1702_cov_2729.744000:1702-1,NODE_3_length_284896_cov_367.374543:1-179122,NODE_3_length_284896_cov_367.374543:179223-284896,NODE_45_length_8099_cov_350.566442:1-8099,NODE_11_length_148513_cov_366.871952:148513-15464
gene-b0001		190	255	complete	NODE_11_length_148513_cov_366.871952:15274-15209
cds-NP_414542.1		190	255	complete	NODE_11_length_148513_cov_366.871952:15274-15209
gene-b0002		337	2799	complete	NODE_11_length_148513_cov_366.871952:15127-12665
cds-NP_414543.1		337	2799	complete	NODE_11_length_148513_cov_366.871952:15127-12665
gene-b0003		2801	3733	complete	NODE_11_length_148513_cov_366.871952:12663-11731
cds-NP_414544.1		2801	3733	complete	NODE_11_length_148513_cov_366.871952:12663-11731
gene-b0004		3734	5020	complete	NODE_11_length_148513_cov_366.871952:11730-10444
cds-NP_414545.1		3734	5020	complete	NODE_11_length_148513_cov_366.871952:11730-10444
