#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
3398:131011-131490|- -            160 1846503at2           -            110   2.8e-38  128.2   0.5   1   1   2.8e-39   2.6e-36  121.9   0.5     1   108     3   137     3   139 0.87 3398_123 # 131011 # 131490 # -1 # ID=826_123;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.523
3405:28479-29711|-   -            411 1846503at2           -            110   8.1e-07   27.0   0.1   1   3   5.1e-08   4.6e-05   21.3   0.0     2    43    66   107    65   134 0.87 3405_28 # 28479 # 29711 # -1 # ID=833_28;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.509
3405:28479-29711|-   -            411 1846503at2           -            110   8.1e-07   27.0   0.1   2   3       1.4   1.3e+03   -2.7   0.0    81   104   186   212   176   213 0.62 3405_28 # 28479 # 29711 # -1 # ID=833_28;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.509
3405:28479-29711|-   -            411 1846503at2           -            110   8.1e-07   27.0   0.1   3   3     0.037        33    2.5   0.0     7    31   282   306   276   315 0.86 3405_28 # 28479 # 29711 # -1 # ID=833_28;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.509
3370:17164-17805|+   -            214 1846503at2           -            110   0.00069   17.5   0.0   1   2     3e-06    0.0027   15.6   0.0     2    32     5    35     4    41 0.82 3370_16 # 17164 # 17805 # 1 # ID=798_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.500
3370:17164-17805|+   -            214 1846503at2           -            110   0.00069   17.5   0.0   2   2      0.49   4.4e+02   -1.2   0.0    88   105   169   186   162   190 0.83 3370_16 # 17164 # 17805 # 1 # ID=798_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.500
3389:113-1546|-      -            478 1846503at2           -            110    0.0022   15.9   0.0   1   2       2.6   2.4e+03   -3.5   0.0    60    73   211   224   206   233 0.67 3389_1 # 113 # 1546 # -1 # ID=817_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.556
3389:113-1546|-      -            478 1846503at2           -            110    0.0022   15.9   0.0   2   2   7.7e-06     0.007   14.3   0.0     3    38   343   378   341   384 0.88 3389_1 # 113 # 1546 # -1 # ID=817_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.556
3370:35879-36937|+   -            353 1846503at2           -            110      0.03   12.3   0.0   1   2   0.00012      0.11   10.5   0.0    10    36   155   181   148   202 0.82 3370_38 # 35879 # 36937 # 1 # ID=798_38;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.509
3370:35879-36937|+   -            353 1846503at2           -            110      0.03   12.3   0.0   2   2       2.2     2e+03   -3.3   0.0    94   107   300   313   287   315 0.82 3370_38 # 35879 # 36937 # 1 # ID=798_38;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.509
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /media/saurav/DATA/ubuntu/Learning/NGS/5-denovo/busco_downloads/lineages/bacteria_odb10/hmms/1846503at2.hmm
# Target file:     5-qc/BUSCO/abyss_ecoli_ass.out/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout 5-qc/BUSCO/abyss_ecoli_ass.out/run_bacteria_odb10/hmmer_output/1846503at2.out --cpu 1 /media/saurav/DATA/ubuntu/Learning/NGS/5-denovo/busco_downloads/lineages/bacteria_odb10/hmms/1846503at2.hmm 5-qc/BUSCO/abyss_ecoli_ass.out/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /media/saurav/DATA/ubuntu/Learning/NGS/5-denovo
# Date:            Sun Jul 28 18:56:45 2024
# [ok]
