# BUSCO version is: 5.7.1 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	NODE_38_length_31036_cov	8318	12541	+	1848.6	1175	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	NODE_38_length_31036_cov	4213	8241	+	1274.3	799	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	NODE_7_length_205025_cov	30926	34813	+	264.7	388	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	NODE_5_length_264628_cov	90202	87572	-	590.0	530	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	NODE_4_length_268404_cov	31949	33970	+	770.8	489	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	NODE_14_length_125752_cov	17684	19507	+	564.0	438	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	NODE_7_length_205025_cov	19345	21144	+	737.2	490	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	NODE_10_length_175988_cov	58010	59413	+	331.8	276	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	NODE_2_length_297149_cov	65070	62473	-	516.2	443	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	NODE_1_length_414005_cov	114955	116727	+	610.0	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	NODE_3_length_284896_cov	191326	192624	+	326.5	279	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	NODE_6_length_224367_cov	140256	138739	-	269.9	279	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	NODE_4_length_268404_cov	157851	159143	+	417.4	311	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	NODE_9_length_178300_cov	48124	49611	+	176.7	209	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
