ID or #		Start	End	Type	Contig
==================================================
NC_000913.3:1..4641652		1	4641652	partial	NODE_11_length_148513_cov_395.042779:133051-148513,NODE_45_length_3217_cov_388.524204:3217-1,NODE_8_length_203214_cov_402.531626:1-203214,NODE_46_length_3105_cov_2690.385733:1-3105,NODE_30_length_40911_cov_392.920116:1-28979,NODE_30_length_40911_cov_392.920116:28980-40911,NODE_47_length_2347_cov_414.378414:1-2347,NODE_44_length_4167_cov_388.289731:4167-1,NODE_33_length_35357_cov_407.491043:35357-1,NODE_21_length_65218_cov_382.188394:1-65218,NODE_40_length_9269_cov_366.787097:9269-1,NODE_52_length_1255_cov_2059.349745:1255-1,NODE_12_length_133063_cov_394.001414:1-133063,NODE_54_length_848_cov_801.291829:1-848,NODE_32_length_40204_cov_379.523488:1-40204,NODE_41_length_6704_cov_353.252452:1-6704,NODE_37_length_32370_cov_382.282662:32370-1,NODE_51_length_1345_cov_1185.592271:1-1345,NODE_19_length_78649_cov_393.195120:1-78649,NODE_31_length_40757_cov_393.548722:40757-33225,NODE_31_length_40757_cov_393.548722:33126-1,NODE_56_length_676_cov_390.682805:676-1,NODE_26_length_47992_cov_405.907545:1-47992,NODE_2_length_312554_cov_398.527437:312554-1,NODE_48_length_1792_cov_429.709621:1-1792,NODE_3_length_297513_cov_387.844965:297513-95420,NODE_3_length_297513_cov_387.844965:95419-1,NODE_35_length_35184_cov_410.985900:1-35184,NODE_36_length_33326_cov_384.396944:33326-1,NODE_53_length_1221_cov_1111.721154:1-1221,NODE_23_length_57964_cov_380.684713:1-57964,NODE_28_length_41649_cov_380.973853:41649-1,NODE_22_length_62449_cov_372.382255:1-62449,NODE_58_length_533_cov_774.677632:1-533,NODE_1_length_433760_cov_397.357256:433760-89827,NODE_1_length_433760_cov_397.357256:89826-1,NODE_38_length_31626_cov_386.973597:31626-1,NODE_20_length_67374_cov_383.169606:1-67374,NODE_15_length_117642_cov_390.199022:117642-1,NODE_6_length_224413_cov_385.164414:1-224413,NODE_7_length_210698_cov_397.859914:1-210698,NODE_5_length_264618_cov_388.501291:264618-178054,NODE_5_length_264618_cov_388.501291:177957-1,NODE_13_length_132605_cov_400.727069:1-132605,NODE_25_length_54902_cov_395.355659:54902-1,NODE_9_length_178278_cov_394.979327:1-178278,NODE_24_length_56917_cov_396.253818:56917-1,NODE_29_length_41323_cov_401.756437:1-41323,NODE_16_length_112849_cov_403.621697:1-112849,NODE_34_length_35227_cov_402.748393:35227-1,NODE_50_length_1608_cov_838.128674:1-1608,NODE_27_length_43781_cov_480.296861:1-43781,NODE_17_length_95774_cov_395.556945:1-95774,NODE_55_length_734_cov_1272.678843:734-1,NODE_10_length_175988_cov_386.970121:1-175988,NODE_18_length_88469_cov_402.845405:1-88469,NODE_14_length_125752_cov_403.157446:125752-1,NODE_43_length_4267_cov_384.952029:1-4267,NODE_57_length_569_cov_790.876016:569-1,NODE_39_length_30887_cov_412.064232:30887-1,NODE_49_length_1702_cov_2883.462154:1702-1,NODE_4_length_294422_cov_404.790256:294422-1,NODE_11_length_148513_cov_395.042779:1-133050
gene-b0001		190	255	complete	NODE_11_length_148513_cov_395.042779:133240-133305
cds-NP_414542.1		190	255	complete	NODE_11_length_148513_cov_395.042779:133240-133305
gene-b0002		337	2799	complete	NODE_11_length_148513_cov_395.042779:133387-135849
cds-NP_414543.1		337	2799	complete	NODE_11_length_148513_cov_395.042779:133387-135849
gene-b0003		2801	3733	complete	NODE_11_length_148513_cov_395.042779:135851-136783
cds-NP_414544.1		2801	3733	complete	NODE_11_length_148513_cov_395.042779:135851-136783
gene-b0004		3734	5020	complete	NODE_11_length_148513_cov_395.042779:136784-138070
cds-NP_414545.1		3734	5020	complete	NODE_11_length_148513_cov_395.042779:136784-138070
