ID or #		Start	End	Type	Contig
==================================================
NC_000913.3:1..4641652		1	4641652	partial	3405:15388-1,3344:1-4427,3393:202924-1,3259:10139-1,3263:1-18554,3263:18555-24011,1882:748-1,3225:1-1118,3277:1-657,3367:1-2914,3276:1812-1,3201:4059-1,3286:1-10050,3342:24198-1,3407:56400-31871,3407:31688-22141,3407:21948-14379,3401:23742-6726,3401:6547-4505,3401:4402-1,3251:1331-1,3253:1-11079,3369:133002-16235,3369:16121-1599,3369:1448-1,1934:898-1,3375:1-41003,3353:1-7770,3307:1-2289,2361:1-772,3297:1-2122,3382:28881-27501,3382:27375-1,3370:79699-1940,3370:1796-1,3241:1-7329,3223:32415-1,3323:1-1279,1095:1-1191,3378:41675-1,3399:1-268126,3216:830-1,3352:44017-1,3384:1-101644,3210:11235-1,26:684-1,2008:853-1,3266:1-13662,3403:1-45122,3392:1-16074,3390:107261-95368,3390:95367-1,3204:1-26089,3365:4995-1,537:3166-1,3235:2159-1,2465:1-757,3283:1-30272,3290:1-1740,3341:1-57475,74:1-2355,3385:38312-19673,3385:19541-1,3358:1-63788,3339:1-612,3362:1351-1,3396:1-1310,3396:1414-15448,3304:57791-1,3376:260640-1,3326:1-8607,3326:8608-64357,3203:1-9427,3309:1-17662,1010:1-3883,3254:2317-1,3219:32147-1,3356:68502-52934,3356:52809-19841,3356:19724-1,3404:1-82342,3404:82506-118470,3407:1-14328,3374:1-42038,3374:42159-163894,3374:164068-164651,1902:612-1,25:1-748,3337:1-43511,3368:6565-1,3387:1-131870,3406:1-71993,3400:1-37120,2433:1-633,3331:1-5069,2047:1-747,3372:1-1182,3372:1294-5670,3372:5799-40464,3328:1-59381,3273:1-25587,3208:1-43025,3383:49263-12483,3383:12328-1,3388:132677-24711,3388:24596-1,3402:55254-1,3252:1-7837,3389:1-35905,3381:38252-1,3267:26801-1,3383:49314-117832,3379:1-25338,3379:25339-56280,3408:1-2936,3408:3071-47137,3397:113249-1,3373:1-34941,2938:1572-1,3298:1-1377,3371:1-22618,3371:22619-26282,3336:1-14224,3403:45173-87329,3403:87429-140911,262:584-1,3398:173692-82084,3398:81947-1,3380:88012-7725,3380:7599-1,3377:125099-12831,3377:12653-1,3390:107312-112479,3293:31908-1,3395:82623-9285,3395:9176-1,3250:29440-1,3391:172293-106295,3391:106188-1,3205:8354-1,3386:1-1416,3386:1550-10757,3394:1-51888,3394:52015-86752,3405:50219-42567,3405:42381-15389
gene-b0001		190	255	complete	3405:15199-15134
cds-NP_414542.1		190	255	complete	3405:15199-15134
gene-b0002		337	2799	complete	3405:15052-12590
cds-NP_414543.1		337	2799	complete	3405:15052-12590
gene-b0003		2801	3733	complete	3405:12588-11656
cds-NP_414544.1		2801	3733	complete	3405:12588-11656
gene-b0004		3734	5020	complete	3405:11655-10369
cds-NP_414545.1		3734	5020	complete	3405:11655-10369
gene-b0005		5234	5530	complete	3405:10155-9859
cds-NP_414546.1		5234	5530	complete	3405:10155-9859
gene-b0006		5683	6459	complete	3405:9706-8930
cds-NP_414547.1		5683	6459	complete	3405:9706-8930
gene-b0007		6529	7959	complete	3405:8860-7430
cds-NP_414548.1		6529	7959	complete	3405:8860-7430
gene-b0008		8238	9191	complete	3405:7151-6198
cds-NP_414549.1		8238	9191	complete	3405:7151-6198
gene-b0009		9306	9893	complete	3405:6083-5496
cds-NP_414550.1		9306	9893	complete	3405:6083-5496
gene-b0010		9928	10494	complete	3405:5461-4895
cds-NP_414551.1		9928	10494	complete	3405:5461-4895
gene-b0011		10643	11356	complete	3405:4746-4033
cds-NP_414552.1		10643	11356	complete	3405:4746-4033
gene-b0012		10830	11315	complete	3405:4559-4074
cds-YP_009518733.1		10830	11315	complete	3405:4559-4074
gene-b0013		11382	11786	complete	3405:4007-3603
cds-NP_414554.1		11382	11786	complete	3405:4007-3603
gene-b0014		12163	14079	complete	3405:3226-1310
cds-NP_414555.1		12163	14079	complete	3405:3226-1310
gene-b0015		14168	15298	complete	3405:1221-91
cds-NP_414556.1		14168	15298	complete	3405:1221-91
id-NC_000913.3:15387..16731		15387	16731	partial	3344:1-1343
gene-b0016		15445	16557	complete	3344:57-1169
cds-NP_414557.1		15445	16557	complete	3344:57-1169
gene-b0018		16751	16960	complete	3344:1363-1572
cds-NP_414559.1		16751	16960	complete	3344:1363-1572
gene-b4412		16751	16903	complete	3344:1363-1515
cds-YP_025292.1		16751	16903	complete	3344:1363-1515
gene-b4413		16952	17010	complete	3344:1564-1622
rna-b4413		16952	17010	complete	3344:1564-1622
exon-b4413-1		16952	17010	complete	3344:1564-1622
gene-b0019		17489	18655	complete	3344:2101-3267
cds-NP_414560.1		17489	18655	complete	3344:2101-3267
gene-b0020		18715	19620	complete	3344:3327-4232
cds-NP_414561.1		18715	19620	complete	3344:3327-4232
gene-b0023		20815	21078	complete	3393:202650-202387
cds-NP_414564.1		20815	21078	complete	3393:202650-202387
gene-b0024		21181	21399	complete	3393:202284-202066
cds-NP_414565.1		21181	21399	complete	3393:202284-202066
gene-b0025		21407	22348	complete	3393:202058-201117
cds-NP_414566.1		21407	22348	complete	3393:202058-201117
gene-b0026		22391	25207	complete	3393:201074-198258
cds-NP_414567.1		22391	25207	complete	3393:201074-198258
gene-b0027		25207	25701	complete	3393:198258-197764
cds-NP_414568.1		25207	25701	complete	3393:198258-197764
gene-b0028		25826	26275	complete	3393:197639-197190
cds-NP_414569.1		25826	26275	complete	3393:197639-197190
gene-b0029		26277	27227	complete	3393:197188-196238
cds-NP_414570.1		26277	27227	complete	3393:197188-196238
gene-b0030		27293	28207	complete	3393:196172-195258
cds-NP_414571.1		27293	28207	complete	3393:196172-195258
gene-b0031		28374	29195	complete	3393:195091-194270
cds-NP_414572.1		28374	29195	complete	3393:195091-194270
gene-b0032		29651	30799	complete	3393:193814-192666
cds-NP_414573.1		29651	30799	complete	3393:193814-192666
gene-b0033		30817	34038	complete	3393:192648-189427
cds-NP_414574.1		30817	34038	complete	3393:192648-189427
gene-b0034		34300	34695	complete	3393:189165-188770
cds-NP_414576.4		34300	34695	complete	3393:189165-188770
gene-b0035		34781	35371	complete	3393:188684-188094
cds-NP_414577.2		34781	35371	complete	3393:188684-188094
gene-b0036		35377	36162	complete	3393:188088-187303
cds-NP_414578.2		35377	36162	complete	3393:188088-187303
gene-b0037		36271	37824	complete	3393:187194-185641
cds-NP_414579.4		36271	37824	complete	3393:187194-185641
gene-b0038		37898	39115	complete	3393:185567-184350
cds-NP_414580.1		37898	39115	complete	3393:185567-184350
gene-b0039		39244	40386	complete	3393:184221-183079
cds-NP_414581.1		39244	40386	complete	3393:184221-183079
gene-b0040		40417	41931	complete	3393:183048-181534
cds-NP_414582.1		40417	41931	complete	3393:183048-181534
gene-b0041		42403	43173	complete	3393:181062-180292
cds-NP_414583.2		42403	43173	complete	3393:181062-180292
gene-b0042		43188	44129	complete	3393:180277-179336
cds-NP_414584.1		43188	44129	complete	3393:180277-179336
gene-b0043		44180	45466	complete	3393:179285-177999
cds-NP_414585.1		44180	45466	complete	3393:179285-177999
gene-b0044		45463	45750	complete	3393:178002-177715
cds-NP_414586.1		45463	45750	complete	3393:178002-177715
gene-b0045		45807	47138	complete	3393:177658-176327
cds-NP_414587.1		45807	47138	complete	3393:177658-176327
gene-b0046		47246	47776	complete	3393:176219-175689
cds-NP_414588.1		47246	47776	complete	3393:176219-175689
