#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_10_length_175988_cov_386.970121:44075-44554|+   -            160 1846503at2           -            110   2.7e-38  128.2   0.5   1   1   2.8e-39   2.5e-36  121.9   0.5     1   108     3   137     3   139 0.87 NODE_10_length_175988_cov_386.970121_43 # 44075 # 44554 # 1 # ID=10_43;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.527
NODE_11_length_148513_cov_395.042779:118713-119945|+ -            411 1846503at2           -            110   7.9e-07   27.0   0.1   1   3   5.1e-08   4.5e-05   21.3   0.0     2    43    66   107    65   134 0.87 NODE_11_length_148513_cov_395.042779_111 # 118713 # 119945 # 1 # ID=11_111;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.509
NODE_11_length_148513_cov_395.042779:118713-119945|+ -            411 1846503at2           -            110   7.9e-07   27.0   0.1   2   3       1.4   1.3e+03   -2.7   0.0    81   104   186   212   176   213 0.62 NODE_11_length_148513_cov_395.042779_111 # 118713 # 119945 # 1 # ID=11_111;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.509
NODE_11_length_148513_cov_395.042779:118713-119945|+ -            411 1846503at2           -            110   7.9e-07   27.0   0.1   3   3     0.037        32    2.5   0.0     7    31   282   306   276   315 0.86 NODE_11_length_148513_cov_395.042779_111 # 118713 # 119945 # 1 # ID=11_111;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.509
NODE_19_length_78649_cov_393.195120:60657-61298|-    -            214 1846503at2           -            110   0.00067   17.5   0.0   1   2     3e-06    0.0026   15.6   0.0     2    32     5    35     4    41 0.82 NODE_19_length_78649_cov_393.195120_60 # 60657 # 61298 # -1 # ID=19_60;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.497
NODE_19_length_78649_cov_393.195120:60657-61298|-    -            214 1846503at2           -            110   0.00067   17.5   0.0   2   2      0.49   4.3e+02   -1.2   0.0    88   105   169   186   162   190 0.83 NODE_19_length_78649_cov_393.195120_60 # 60657 # 61298 # -1 # ID=19_60;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.497
NODE_9_length_178278_cov_394.979327:7970-9403|-      -            478 1846503at2           -            110    0.0022   15.9   0.0   1   2       2.6   2.3e+03   -3.5   0.0    60    73   211   224   206   233 0.67 NODE_9_length_178278_cov_394.979327_7 # 7970 # 9403 # -1 # ID=9_7;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.556
NODE_9_length_178278_cov_394.979327:7970-9403|-      -            478 1846503at2           -            110    0.0022   15.9   0.0   2   2   7.7e-06    0.0068   14.3   0.0     3    38   343   378   341   384 0.88 NODE_9_length_178278_cov_394.979327_7 # 7970 # 9403 # -1 # ID=9_7;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.556
NODE_19_length_78649_cov_393.195120:41524-42582|-    -            353 1846503at2           -            110     0.029   12.3   0.0   1   2   0.00012       0.1   10.5   0.0    10    36   155   181   148   202 0.82 NODE_19_length_78649_cov_393.195120_39 # 41524 # 42582 # -1 # ID=19_39;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.508
NODE_19_length_78649_cov_393.195120:41524-42582|-    -            353 1846503at2           -            110     0.029   12.3   0.0   2   2       2.2   1.9e+03   -3.3   0.0    94   107   300   313   287   315 0.82 NODE_19_length_78649_cov_393.195120_39 # 41524 # 42582 # -1 # ID=19_39;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.508
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /media/saurav/DATA/ubuntu/Learning/NGS/5-denovo/busco_downloads/lineages/bacteria_odb10/hmms/1846503at2.hmm
# Target file:     5-qc/BUSCO/spades_hyb_ecoli_ass.out/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout 5-qc/BUSCO/spades_hyb_ecoli_ass.out/run_bacteria_odb10/hmmer_output/1846503at2.out --cpu 1 /media/saurav/DATA/ubuntu/Learning/NGS/5-denovo/busco_downloads/lineages/bacteria_odb10/hmms/1846503at2.hmm 5-qc/BUSCO/spades_hyb_ecoli_ass.out/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /media/saurav/DATA/ubuntu/Learning/NGS/5-denovo
# Date:            Sun Jul 28 18:59:36 2024
# [ok]
