# BUSCO version is: 5.7.1 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	NODE_39_length_30887_cov	22570	18347	-	1848.6	1175	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	NODE_39_length_30887_cov	26675	22647	-	1274.3	799	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	NODE_7_length_210698_cov	180103	176216	-	264.7	388	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	NODE_5_length_264618_cov	174417	177047	+	590.0	530	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	NODE_2_length_312554_cov	280796	278775	-	770.8	489	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	NODE_14_length_125752_cov	108069	106246	-	564.0	438	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	NODE_7_length_210698_cov	191684	189885	-	737.2	490	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	NODE_10_length_175988_cov	117979	116576	-	331.8	276	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	NODE_3_length_297513_cov	65069	62472	-	516.2	443	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	NODE_1_length_433760_cov	117807	119579	+	610.0	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	NODE_4_length_294422_cov	102936	101638	-	326.5	279	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	NODE_6_length_224413_cov	140302	138785	-	269.9	279	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	NODE_2_length_312554_cov	154894	153602	-	417.4	311	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	NODE_9_length_178278_cov	130176	128689	-	176.7	209	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	NODE_1_length_433760_cov	351107	352381	+	340.7	282	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	NODE_10_length_175988_cov	151625	150243	-	578.6	359	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	NODE_13_length_132605_cov	75008	73845	-	178.5	217	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	NODE_1_length_433760_cov	269387	270370	+	434.8	293	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	NODE_7_length_210698_cov	117095	115518	-	308.9	232	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	NODE_11_length_148513_cov	117310	118692	+	211.5	231	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	NODE_5_length_264618_cov	88487	89785	+	366.7	284	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	NODE_29_length_41323_cov	12112	11123	-	263.4	225	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	NODE_8_length_203214_cov	198288	196570	-	820.9	532	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	NODE_15_length_117642_cov	94696	92663	-	197.2	300	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	NODE_2_length_312554_cov	133121	132438	-	287.4	205	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	NODE_10_length_175988_cov	154107	152566	-	642.1	406	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	NODE_43_length_4267_cov	169	1197	+	139.6	163	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	NODE_1_length_433760_cov	122973	123983	+	429.0	272	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	NODE_7_length_210698_cov	105757	106794	+	464.4	314	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
